classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler
RandomForest,0.8117216117216117,0.5970638194612958,0.9959522363893949,0.7465675491162861,0.8682900825808268,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424,0.0,1.0,SD,SVMSMOTE
LightGBM,0.9861369399830938,0.9580487804878048,0.993725966403562,0.9755612954500298,0.9884671693935961,0.9714834988785646,0.0,0.0,0.0,0.4868336544637123,0.0,1.0,SD,SVMSMOTE
SVC,0.9997182304874612,0.9995951417004049,0.9993928354584092,0.999493978342273,0.9996183171356401,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845,0.0,1.0,SD,SVMSMOTE
LogisticReg,0.8729693845673228,0.8298680665883815,0.9383005310840362,0.8807595029507715,0.8729693845673228,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169,0.0,1.0,SD,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845,0.0,1.0,SD,RandomOverSampler
RandomForest,0.9906669790690409,0.9816759947864755,1.0,0.9907532789105119,0.990666979069041,0.9641140660044858,0.0,0.0,0.0,0.48314065510597304,0.0,1.0,SD,RandomOverSampler
LightGBM,0.904482974070603,0.8396065573770491,1.0,0.9128110073429813,0.904482974070603,0.6959307914130086,0.0021141649048625794,0.2857142857142857,0.004197271773347324,0.49128360400036697,0.0,1.0,SD,RandomOverSampler
SVC,0.9998047485160887,0.9996096494652198,1.0,0.9998047866317885,0.9998047485160888,0.9961550785004806,0.0,0.0,0.0,0.4991971740526654,0.0,1.0,SD,RandomOverSampler
LogisticReg,0.9980839673147366,1.0,0.9931188018619712,0.9965475223395613,0.9965594009309856,0.9977571291252804,0.0,0.0,0.0,0.5,0.0,1.0,RB,SVMSMOTE
DecisionTree,0.9173851789236405,0.7733207487808714,0.9949402954867436,0.8702425208001415,0.9411986700801416,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363,0.0,1.0,RB,SVMSMOTE
RandomForest,0.8117216117216117,0.5970638194612958,0.9959522363893949,0.7465675491162861,0.8682900825808268,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424,0.0,1.0,RB,SVMSMOTE
LightGBM,0.9863623555931248,0.958797109939465,0.993725966403562,0.9759491154839992,0.9886233705807251,0.9721243191284845,0.0,0.0,0.0,0.4871547848426461,0.0,1.0,RB,SVMSMOTE
SVC,0.3989856297548605,0.3165619792334316,0.9995952236389395,0.4808450567103149,0.5834042972302789,0.17718679910285165,0.002331908278274388,0.8571428571428571,0.004651162790697675,0.5164005872098357,0.0,1.0,RB,SVMSMOTE
LogisticReg,0.8709387691346454,0.8268979282813683,0.9383005310840362,0.8790838912669666,0.8709387691346454,0.7058635052867671,0.003271537622682661,0.42857142857142855,0.006493506493506493,0.5675291311129461,0.0,1.0,RB,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845,0.0,1.0,RB,RandomOverSampler
RandomForest,0.9906669790690409,0.9816759947864755,1.0,0.9907532789105119,0.990666979069041,0.9641140660044858,0.0,0.0,0.0,0.48314065510597304,0.0,1.0,RB,RandomOverSampler
LightGBM,0.904482974070603,0.8396065573770491,1.0,0.9128110073429813,0.904482974070603,0.6959307914130086,0.0021141649048625794,0.2857142857142857,0.004197271773347324,0.49128360400036697,0.0,1.0,RB,RandomOverSampler
SVC,0.5683380193689472,0.5366753290300947,1.0,0.698488898587093,0.5683380193689471,0.1393784043575777,0.002229654403567447,0.8571428571428571,0.004447739065974796,0.4974538948527388,0.0,1.0,RB,RandomOverSampler
LogisticReg,0.809636517328825,0.5944410876132931,0.9955474600283344,0.7444007263922519,0.8667209340129175,0.7241268824094841,0.005787037037037037,0.7142857142857143,0.01148105625717566,0.7192173593907698,1.0,1.0,None,SVMSMOTE
DecisionTree,0.917272471118625,0.773077527913194,0.9949402954867436,0.8700884955752213,0.9411205694865771,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032,1.0,1.0,None,SVMSMOTE
RandomForest,0.8042265426880811,0.5877077603730718,0.9947379073062134,0.7388755261575466,0.8627235303478895,0.7465555911566806,0.001272264631043257,0.14285714285714285,0.0025220680958385876,0.4453848976970364,1.0,1.0,None,SVMSMOTE
