classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler,class_weight
LogisticReg,0.5254607935020306,0.5130629908639205,1.0,0.678177966101695,0.5254607935020306,0.038449214995193846,0.001996007984031936,0.8571428571428571,0.00398274145370063,0.44687586017065783,1,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,1,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5855982505467041,0.5468056030064913,1.0,0.7070127001656543,0.5855982505467041,0.1643703941044537,0.002296211251435132,0.8571428571428571,0.004580152671755725,0.5099779796311588,1,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.7751093408309904,0.6897591984054302,1.0,0.8163994006439889,0.7751093408309904,0.5270746555591157,0.002708192281651997,0.5714285714285714,0.005390835579514824,0.5492017616295073,1,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.5867307091533895,0.557015967551471,0.8473133395813808,0.672160094173043,0.5867307091533895,0.3287407882089074,0.0019083969465648854,0.5714285714285714,0.003804089396100808,0.44981190934948156,1,0,RB,RandomOverSampler,balanced
LogisticReg,0.3644406875176106,0.3045221790363378,0.9989880590973487,0.46676122931442077,0.5592800339223075,0.13200897148349888,0.002577319587628866,1.0,0.005141388174807198,0.565028901734104,0,1,None,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.9333333333333333,0.8072269457161544,0.999190447277879,0.8930089536040517,0.9535549237326602,0.87504005126562,0.0025974025974025974,0.14285714285714285,0.005102040816326531,0.5097715386732727,0,1,None,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9549732318963088,0.863078541374474,0.9963570127504554,0.9249412869891968,0.9676802245882862,0.8731175905158604,0.005089058524173028,0.2857142857142857,0.01,0.5800761537755756,0,1,None,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8985629754860525,0.7334621673851642,0.9985832827362882,0.8457319163524168,0.9292744592375599,0.7728292214033964,0.0028328611898017,0.2857142857142857,0.005610098176718093,0.5298192494724285,0,1,None,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.7415610030994646,0.5187098134289027,0.9959522363893949,0.6821458275575271,0.8196724630869188,0.6369753284203781,0.005272407732864675,0.8571428571428571,0.010480349344978167,0.7468116340948711,0,1,None,SVMSMOTE,balanced
LogisticReg,0.5,0.5,1.0,0.6666666666666666,0.5,0.002242870874719641,0.002242870874719641,1.0,0.004475703324808183,0.5,0,1,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5838409871915027,0.545756787860705,1.0,0.7061353922514821,0.5838409871915027,0.16148670297981416,0.002288329519450801,0.8571428571428571,0.004564473183720046,0.5085328929259565,0,1,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5145657606997813,0.5073905290271449,1.0,0.6732038171350457,0.5145657606997813,0.024351169496956104,0.0022935779816513763,1.0,0.004576659038901603,0.5110789980732178,0,1,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8305217119650109,0.7468502099860009,1.0,0.8550821423801256,0.8305217119650109,0.5821851970522268,0.0023023791250959325,0.42857142857142855,0.0045801526717557245,0.5055509679787137,0,1,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.6671352702280537,0.7136581469648562,0.5582630427991253,0.6264680105170903,0.6671352702280537,0.7821211150272349,0.0029542097488921715,0.2857142857142857,0.0058479532163742695,0.5344756399669695,0,1,None,RandomOverSampler,balanced
LogisticReg,0.8615948154409693,0.6685202766852028,0.9975713418336369,0.8005522169887932,0.9033467455809859,0.6952899711630888,0.003157894736842105,0.42857142857142855,0.006269592476489029,0.5622304798605376,0,1,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.9333333333333333,0.8072269457161544,0.999190447277879,0.8930089536040517,0.9535549237326602,0.87504005126562,0.0025974025974025974,0.14285714285714285,0.005102040816326531,0.5097715386732727,0,1,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9549732318963088,0.863078541374474,0.9963570127504554,0.9249412869891968,0.9676802245882862,0.8731175905158604,0.005089058524173028,0.2857142857142857,0.01,0.5800761537755756,0,1,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
