,class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
34,1,1,0,SD,BdlSMOTE,SVC,0.9946110590440488,0.9918452935694315,0.9974226804123711,0.9946261682242991,0.9946110590440488,0.9887856456264018,0.0,0.0,0.0,0.49550417469492614
35,1,1,0,RB,BdlSMOTE,LogisticReg,0.7409012808497345,0.6588556419632281,0.9991408934707904,0.7940783960770926,0.7409012808497344,0.48221723806472283,0.0030883261272390363,0.7142857142857143,0.006150061500615006,0.5979906413432425
36,1,1,0,RB,BdlSMOTE,DecisionTree,0.7840128084973446,0.6986181659293244,0.9989846922836614,0.8222286504033683,0.7840128084973446,0.5770586350528677,0.002274450341167551,0.42857142857142855,0.004524886877828054,0.5029819249472429
37,1,1,0,RB,BdlSMOTE,RandomForest,0.9348641049671977,0.8861839367457345,0.9978912839737581,0.9387260304165749,0.9348641049671977,0.8788849727651393,0.002680965147453083,0.14285714285714285,0.005263157894736842,0.5116983209468758
38,1,1,0,RB,BdlSMOTE,LightGBM,0.8998359887535146,0.8334527453917802,0.9993751952514839,0.9089036474056185,0.8998359887535144,0.7795578340275553,0.00291970802919708,0.2857142857142857,0.005780346820809248,0.5331911184512341
39,1,1,0,RB,BdlSMOTE,SVC,0.9370118712902218,0.8896316412506093,0.9978131833801936,0.9406221240566905,0.9370118712902217,0.8670297981416213,0.0024390243902439024,0.14285714285714285,0.004796163069544365,0.5057574089365997
40,1,0,1,None,BdlSMOTE,LogisticReg,0.5622852233676976,0.5332250135399742,0.9996094970321775,0.6954655364468716,0.5622852233676976,0.1368151233578981,0.00259163272861903,1.0,0.0051698670605613,0.5674373795761078
41,1,0,1,None,BdlSMOTE,DecisionTree,0.8995626366760388,0.8332030741174938,0.9991408934707904,0.9086582853895874,0.8995626366760389,0.6898429990387697,0.0031023784901758012,0.42857142857142855,0.006160164271047228,0.5595008716395999
42,1,0,1,None,BdlSMOTE,RandomForest,0.965167135270228,0.93601756954612,0.9985941893158388,0.9662938331318016,0.965167135270228,0.8638256968920218,0.004739336492890996,0.2857142857142857,0.009324009324009324,0.5754197632810348
43,1,0,1,None,BdlSMOTE,LightGBM,0.8787878787878788,0.8052618328298087,0.9992189940643549,0.8918165342255681,0.8787878787878787,0.7244472925344441,0.002333722287047841,0.2857142857142857,0.0046296296296296285,0.5055739058629232
44,1,0,1,None,BdlSMOTE,SVC,0.9348641049671977,0.918394950405771,0.9545454545454546,0.9361213235294117,0.9348641049671976,0.9131688561358539,0.0037593984962406013,0.14285714285714285,0.007326007326007326,0.5288787962198366
45,1,0,1,MM,BdlSMOTE,LogisticReg,0.8992502343017807,0.8328558406042453,0.9989846922836614,0.9083871884099141,0.8992502343017806,0.6850368471643704,0.003054989816700611,0.42857142857142855,0.006066734074823054,0.5570923937975961
46,1,0,1,MM,BdlSMOTE,DecisionTree,0.8995626366760388,0.8332030741174938,0.9991408934707904,0.9086582853895874,0.8995626366760389,0.6898429990387697,0.0031023784901758012,0.42857142857142855,0.006160164271047228,0.5595008716395999
47,1,0,1,MM,BdlSMOTE,RandomForest,0.965167135270228,0.93601756954612,0.9985941893158388,0.9662938331318016,0.965167135270228,0.8638256968920218,0.004739336492890996,0.2857142857142857,0.009324009324009324,0.5754197632810348
48,1,0,1,MM,BdlSMOTE,LightGBM,0.8787878787878788,0.8052618328298087,0.9992189940643549,0.8918165342255681,0.8787878787878787,0.7244472925344441,0.002333722287047841,0.2857142857142857,0.0046296296296296285,0.5055739058629232
49,1,0,1,MM,BdlSMOTE,SVC,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
50,1,0,1,SD,BdlSMOTE,LogisticReg,0.929865666979069,0.8773481420540244,0.9994532958450484,0.93442862358525,0.929865666979069,0.7734700416533162,0.00424929178470255,0.42857142857142855,0.00841514726507714,0.601408386090467
51,1,0,1,SD,BdlSMOTE,DecisionTree,0.8995626366760388,0.8332030741174938,0.9991408934707904,0.9086582853895874,0.8995626366760389,0.6898429990387697,0.0031023784901758012,0.42857142857142855,0.006160164271047228,0.5595008716395999
52,1,0,1,SD,BdlSMOTE,RandomForest,0.965167135270228,0.93601756954612,0.9985941893158388,0.9662938331318016,0.965167135270228,0.8638256968920218,0.004739336492890996,0.2857142857142857,0.009324009324009324,0.5754197632810348
53,1,0,1,SD,BdlSMOTE,LightGBM,0.9040534208059982,0.8393571662840276,0.9993751952514839,0.9124032942350886,0.904053420805998,0.737584107657802,0.003667481662591687,0.42857142857142855,0.007272727272727273,0.5834250848701716
54,1,0,1,SD,BdlSMOTE,SVC,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
55,1,0,1,RB,BdlSMOTE,LogisticReg,0.9003045923149016,0.8342790060653492,0.9990627928772259,0.9092653801044888,0.9003045923149017,0.6853572572893304,0.0030581039755351682,0.42857142857142855,0.006072874493927126,0.5572529589870631
56,1,0,1,RB,BdlSMOTE,DecisionTree,0.8995626366760388,0.8332030741174938,0.9991408934707904,0.9086582853895874,0.8995626366760389,0.6898429990387697,0.0031023784901758012,0.42857142857142855,0.006160164271047228,0.5595008716395999
57,1,0,1,RB,BdlSMOTE,RandomForest,0.965167135270228,0.93601756954612,0.9985941893158388,0.9662938331318016,0.965167135270228,0.8638256968920218,0.004739336492890996,0.2857142857142857,0.009324009324009324,0.5754197632810348
