class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
0,0,1,None,SMOTE,DecisionTree,1,1,1,1,1,0.993912208,0,0,0,0.498073218
0,0,1,None,SMOTE,RandomForest,0.966611996,0.938688597,0.998437988,0.967641827,0.966611996,0.914450497,0.003816794,0.142857143,0.007434944,0.529521057
0,0,1,None,SMOTE,LightGBM,0.99863324,0.999921698,0.99734458,0.998631476,0.99863324,0.997757129,0,0,0,0.5
0,0,1,None,SMOTE,SVC,0.505193689,0.502610402,1,0.668982993,0.505193689,0.016981737,0.002276423,1,0.004542505,0.507385999
0,0,1,None,ADASYN,LogisticReg,0.535477324,0.519641479,0.945311281,0.670633164,0.535253266,0.139057994,0.002228826,0.857142857,0.004446091,0.49729333
0,0,1,None,ADASYN,DecisionTree,1,1,1,1,1,0.992630567,0,0,0,0.497430957
0,0,1,None,ADASYN,RandomForest,0.998712044,0.998362828,0.999063817,0.998713199,0.998711852,0.995834668,0,0,0,0.499036609
0,0,1,None,ADASYN,LightGBM,0.998673015,1,0.99734748,0.998671979,0.99867374,0.997757129,0,0,0,0.5
0,0,1,None,ADASYN,SVC,0.505190852,0.502745529,1,0.669102678,0.504920337,0.015700096,0.002273465,1,0.004536617,0.506743738
0,0,1,MM,SMOTE,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,0,1,MM,SMOTE,DecisionTree,1,1,1,1,1,0.993912208,0,0,0,0.498073218
0,0,1,MM,SMOTE,RandomForest,0.966611996,0.938688597,0.998437988,0.967641827,0.966611996,0.914450497,0.003816794,0.142857143,0.007434944,0.529521057
0,0,1,MM,SMOTE,LightGBM,0.99863324,0.999921698,0.99734458,0.998631476,0.99863324,0.997757129,0,0,0,0.5
0,0,1,MM,SMOTE,SVC,0.99996095,1,0.999921899,0.999960948,0.99996095,0.996795899,0,0,0,0.499518304
0,0,1,MM,ADASYN,LogisticReg,0.998673015,1,0.99734748,0.998671979,0.99867374,0.997757129,0,0,0,0.5
0,0,1,MM,ADASYN,DecisionTree,1,1,1,1,1,0.992630567,0,0,0,0.497430957
0,0,1,MM,ADASYN,RandomForest,0.998712044,0.998362828,0.999063817,0.998713199,0.998711852,0.995834668,0,0,0,0.499036609
0,0,1,MM,ADASYN,LightGBM,0.998673015,1,0.99734748,0.998671979,0.99867374,0.997757129,0,0,0,0.5
0,0,1,MM,ADASYN,SVC,0.999960971,1,0.999921985,0.999960991,0.999960992,0.996795899,0,0,0,0.499518304
0,0,1,SD,SMOTE,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,0,1,SD,SMOTE,DecisionTree,1,1,1,1,1,0.993912208,0,0,0,0.498073218
0,0,1,SD,SMOTE,RandomForest,0.966611996,0.938688597,0.998437988,0.967641827,0.966611996,0.914450497,0.003816794,0.142857143,0.007434944,0.529521057
0,0,1,SD,SMOTE,LightGBM,0.99863324,0.999921698,0.99734458,0.998631476,0.99863324,0.997757129,0,0,0,0.5
0,0,1,SD,SMOTE,SVC,0.999882849,1,0.999765698,0.999882835,0.999882849,0.995834668,0,0,0,0.499036609
0,0,1,SD,ADASYN,LogisticReg,0.998673015,1,0.99734748,0.998671979,0.99867374,0.997757129,0,0,0,0.5
0,0,1,SD,ADASYN,DecisionTree,1,1,1,1,1,0.992630567,0,0,0,0.497430957
0,0,1,SD,ADASYN,RandomForest,0.998712044,0.998362828,0.999063817,0.998713199,0.998711852,0.995834668,0,0,0,0.499036609
0,0,1,SD,ADASYN,LightGBM,0.998673015,1,0.99734748,0.998671979,0.99867374,0.997757129,0,0,0,0.5
0,0,1,SD,ADASYN,SVC,0.999882913,1,0.999765954,0.999882963,0.999882977,0.995834668,0,0,0,0.499036609
0,0,1,RB,SMOTE,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,0,1,RB,SMOTE,DecisionTree,1,1,1,1,1,0.993912208,0,0,0,0.498073218
0,0,1,RB,SMOTE,RandomForest,0.966611996,0.938688597,0.998437988,0.967641827,0.966611996,0.914450497,0.003816794,0.142857143,0.007434944,0.529521057
0,0,1,RB,SMOTE,LightGBM,0.99863324,0.999921698,0.99734458,0.998631476,0.99863324,0.997757129,0,0,0,0.5
0,0,1,RB,SMOTE,SVC,0.579194002,0.543006192,0.999921899,0.703809576,0.579194002,0.167574495,0.002305033,0.857142857,0.004597701,0.511583632
0,0,1,RB,ADASYN,LogisticReg,0.998673015,1,0.99734748,0.998671979,0.99867374,0.997757129,0,0,0,0.5
0,0,1,RB,ADASYN,DecisionTree,1,1,1,1,1,0.992630567,0,0,0,0.497430957
0,0,1,RB,ADASYN,RandomForest,0.998712044,0.998362828,0.999063817,0.998713199,0.998711852,0.995834668,0,0,0,0.499036609
0,0,1,RB,ADASYN,LightGBM,0.998673015,1,0.99734748,0.998671979,0.99867374,0.997757129,0,0,0,0.5
0,0,1,RB,ADASYN,SVC,0.579111701,0.54309322,0.999921985,0.703882695,0.578881642,0.165652035,0.002299732,0.857142857,0.004587156,0.51062024
0,1,1,None,SMOTE,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,1,1,None,SMOTE,DecisionTree,0.999882849,1,0.999765698,0.999882835,0.999882849,0.992950977,0,0,0,0.497591522
0,1,1,None,SMOTE,RandomForest,0.980045298,0.962386218,0.999140893,0.980419205,0.980045298,0.953540532,0.007142857,0.142857143,0.013605442,0.54911001
0,1,1,None,SMOTE,LightGBM,0.998477038,0.999217833,0.997735083,0.998475908,0.998477038,0.996155079,0,0,0,0.499197174
0,1,1,None,SMOTE,SVC,0.985668541,1,0.971337082,0.985460164,0.985668541,0.997757129,0,0,0,0.5
0,1,1,None,ADASYN,LogisticReg,0.998671771,1,0.997342504,0.998669484,0.998671252,0.997757129,0,0,0,0.5
0,1,1,None,ADASYN,DecisionTree,0.766192671,0.707984605,0.905815226,0.7947742,0.766247194,0.467157962,0.001805054,0.428571429,0.003594967,0.447908065
0,1,1,None,ADASYN,RandomForest,0.974255801,0.952022648,0.998827575,0.974863638,0.974265397,0.943287408,0,0,0,0.472703918
0,1,1,None,ADASYN,LightGBM,0.998828033,1,0.997655151,0.998826199,0.998827575,0.997757129,0,0,0,0.5
0,1,1,None,ADASYN,SVC,0.984920697,1,0.969829608,0.984683755,0.984914804,0.997757129,0,0,0,0.5
0,1,1,MM,SMOTE,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,1,1,MM,SMOTE,DecisionTree,0.999882849,1,0.999765698,0.999882835,0.999882849,0.992950977,0,0,0,0.497591522
0,1,1,MM,SMOTE,RandomForest,0.980045298,0.962386218,0.999140893,0.980419205,0.980045298,0.953540532,0.007142857,0.142857143,0.013605442,0.54911001
0,1,1,MM,SMOTE,LightGBM,0.998477038,0.999217833,0.997735083,0.998475908,0.998477038,0.996155079,0,0,0,0.499197174
0,1,1,MM,SMOTE,SVC,0.999843799,1,0.999687598,0.999843774,0.999843799,0.996155079,0,0,0,0.499197174
0,1,1,MM,ADASYN,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,1,1,MM,ADASYN,DecisionTree,0.999882849,1,0.999765698,0.999882835,0.999882849,0.992950977,0,0,0,0.497591522
0,1,1,MM,ADASYN,RandomForest,0.980045298,0.962386218,0.999140893,0.980419205,0.980045298,0.953540532,0.007142857,0.142857143,0.013605442,0.54911001
0,1,1,MM,ADASYN,LightGBM,0.998477038,0.999217833,0.997735083,0.998475908,0.998477038,0.996155079,0,0,0,0.499197174
0,1,1,MM,ADASYN,SVC,0.999843799,1,0.999687598,0.999843774,0.999843799,0.996155079,0,0,0,0.499197174
0,1,1,SD,SMOTE,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,1,1,SD,SMOTE,DecisionTree,0.999882849,1,0.999765698,0.999882835,0.999882849,0.992950977,0,0,0,0.497591522
0,1,1,SD,SMOTE,RandomForest,0.980045298,0.962386218,0.999140893,0.980419205,0.980045298,0.953540532,0.007142857,0.142857143,0.013605442,0.54911001
0,1,1,SD,SMOTE,LightGBM,0.998477038,0.999217833,0.997735083,0.998475908,0.998477038,0.996155079,0,0,0,0.499197174
0,1,1,SD,SMOTE,SVC,0.999687598,1,0.999375195,0.9996875,0.999687598,0.995514258,0,0,0,0.498876044
0,1,1,SD,ADASYN,LogisticReg,0.998671771,1,0.997342504,0.998669484,0.998671252,0.997757129,0,0,0,0.5
0,1,1,SD,ADASYN,DecisionTree,0.766192671,0.707984605,0.905815226,0.7947742,0.766247194,0.467157962,0.001805054,0.428571429,0.003594967,0.447908065
0,1,1,SD,ADASYN,RandomForest,0.974255801,0.952022648,0.998827575,0.974863638,0.974265397,0.943287408,0,0,0,0.472703918
0,1,1,SD,ADASYN,LightGBM,0.998867099,1,0.997733312,0.99886537,0.998866656,0.997757129,0,0,0,0.5
0,1,1,SD,ADASYN,SVC,0.999687476,1,0.999374707,0.999687256,0.999687353,0.995514258,0,0,0,0.498876044
0,1,1,RB,SMOTE,LogisticReg,0.99867229,1,0.99734458,0.998670525,0.99867229,0.997757129,0,0,0,0.5
0,1,1,RB,SMOTE,DecisionTree,0.999882849,1,0.999765698,0.999882835,0.999882849,0.992950977,0,0,0,0.497591522
0,1,1,RB,SMOTE,RandomForest,0.980045298,0.962386218,0.999140893,0.980419205,0.980045298,0.953540532,0.007142857,0.142857143,0.013605442,0.54911001
0,1,1,RB,SMOTE,LightGBM,0.998477038,0.999217833,0.997735083,0.998475908,0.998477038,0.996155079,0,0,0,0.499197174
0,1,1,RB,SMOTE,SVC,0.566815058,0.535799473,1,0.697746655,0.566815058,0.132970202,0.002213205,0.857142857,0.004415011,0.494242591
0,1,1,RB,ADASYN,LogisticReg,0.998671771,1,0.997342504,0.998669484,0.998671252,0.997757129,0,0,0,0.5
0,1,1,RB,ADASYN,DecisionTree,0.766192671,0.707984605,0.905815226,0.7947742,0.766247194,0.467157962,0.001805054,0.428571429,0.003594967,0.447908065
0,1,1,RB,ADASYN,RandomForest,0.974255801,0.952022648,0.998827575,0.974863638,0.974265397,0.943287408,0,0,0,0.472703918
0,1,1,RB,ADASYN,LightGBM,0.998828033,1,0.997655151,0.998826199,0.998827575,0.997757129,0,0,0,0.5
0,1,1,RB,ADASYN,SVC,0.566645832,0.535605141,1,0.697581854,0.566815058,0.132649792,0.002212389,0.857142857,0.004413387,0.494082026
